Date,Open,High,Low,Close,Volume
1/27/2024,41817.6,41850,41810.7,41815.01,248.23977
1/27/2024,41815.01,41825.44,41807.07,41815,181.30979
1/27/2024,41815,41874.67,41791.1,41868.23,122.43021
1/27/2024,41868.24,41875.67,41838,41868.75,95.9848
1/27/2024,41868.74,41873.74,41840.65,41844.26,91.37863
1/27/2024,41844.26,41890,41817.65,41817.66,123.32954
1/27/2024,41817.66,41829.99,41782.2,41807.55,87.49872
1/27/2024,41807.55,41824.5,41770.23,41777.61,93.76462
1/27/2024,41777.6,41801.1,41738.59,41762.48,130.87762
1/27/2024,41762.49,41808.19,41751.1,41789.27,140.27197
1/27/2024,41789.26,41812,41779.91,41801.11,105.53351
1/27/2024,41801.1,41801.11,41710,41736.58,166.77915
1/27/2024,41736.58,41750,41691.24,41704.04,147.38488
1/27/2024,41704.04,41729.41,41666,41708.4,184.51626
1/27/2024,41708.4,41708.4,41611.52,41623.93,271.02012
1/27/2024,41623.92,41683.47,41602.01,41674.08,208.01901
1/27/2024,41674.08,41722,41658.5,41710.14,234.96778
1/27/2024,41710.15,41710.15,41572.86,41589.48,312.1185
1/27/2024,41589.49,41631.1,41548.1,41624.73,250.80633
1/27/2024,41624.73,41630,41540.52,41630,206.6585
1/27/2024,41630,41719.85,41421.21,41470.01,598.62045
1/27/2024,41470.01,41565.77,41394.34,41539.8,436.84159
1/27/2024,41539.79,41598,41520.23,41550.43,154.23374
1/27/2024,41550.43,41710,41550.42,41678.89,264.99956
1/27/2024,41678.89,41742.7,41659.68,41669.78,215.04136
1/27/2024,41669.79,41799,41651.1,41799,231.2639
1/27/2024,41799,41800,41717.96,41720.99,190.37059
1/27/2024,41721,41774.07,41678.88,41772.06,152.71163
1/27/2024,41772.07,41779.1,41730.23,41747.3,157.83595
1/27/2024,41747.31,41784.84,41732.32,41784.83,129.75429
1/27/2024,41784.83,41784.84,41702.88,41725.36,139.19259
1/27/2024,41725.36,41778.41,41725.35,41766.48,111.74439
1/27/2024,41766.47,41786.87,41747.08,41761.23,195.14562
1/27/2024,41761.22,41774.2,41714,41748.27,153.33382
1/27/2024,41748.27,41789,41714,41781.84,195.44001
1/27/2024,41781.84,41807.03,41741.51,41755.34,133.52261
1/27/2024,41755.35,41773.12,41734.75,41750,130.24829
1/27/2024,41750.01,41774.07,41728.35,41761.1,98.46717
1/27/2024,41761.11,41806.55,41727.4,41727.41,124.69513
1/27/2024,41727.41,41770.5,41727.4,41761.21,97.01657
1/27/2024,41761.21,41763.74,41725.21,41742.44,99.20581
1/27/2024,41742.44,41763.7,41731.01,41750.39,94.0486
1/27/2024,41750.39,41784.52,41750.38,41773.02,117.66871
1/27/2024,41773.02,41818.39,41773.01,41818.39,120.49443
1/27/2024,41818.38,41818.39,41736.07,41766,161.22284
1/27/2024,41765.99,41819.23,41733.6,41788.71,132.26322
1/27/2024,41788.71,41850,41784.15,41849.99,106.21908
1/27/2024,41849.99,41894.87,41835.92,41894.87,191.4383
1/27/2024,41894.86,41894.87,41801.86,41814,151.33796
1/27/2024,41813.99,41869.11,41791.22,41867.85,173.01091
1/27/2024,41867.84,41895.74,41840.63,41860.27,110.93435
1/27/2024,41860.26,41860.27,41811.1,41846.86,156.36592
1/27/2024,41846.85,41849.65,41792,41810.18,168.87243
1/27/2024,41810.17,41842.41,41789.46,41838,149.88294
1/27/2024,41838,41842,41786.3,41810.36,95.43683
1/27/2024,41810.35,41836.77,41810.35,41836.77,101.71363
1/27/2024,41836.76,41845.34,41774.07,41779.28,101.20057
1/27/2024,41779.28,41792.63,41745.26,41783.03,144.3732
1/27/2024,41783.02,41808.57,41769.13,41808.55,91.68825
1/27/2024,41808.55,41817.64,41791.91,41807.03,89.58614
1/27/2024,41807.03,41807.24,41776.54,41797.62,66.91032
1/27/2024,41797.62,41866.15,41790.87,41848.08,206.27459
1/27/2024,41848.07,41855,41836.77,41854.31,85.2988
1/27/2024,41854.31,41986.06,41831.99,41930.38,358.54939
1/27/2024,41930.38,41970.95,41910.47,41910.47,156.10686
1/27/2024,41910.48,41981.03,41910.47,41947.6,161.0281
1/27/2024,41947.59,41999,41947.59,41972.1,100.77434
1/27/2024,41972.1,42074,41950.67,42028.31,247.02996
1/27/2024,42028.31,42076.7,42016.04,42059.93,156.14261
1/27/2024,42059.94,42069.51,42022.92,42039.43,106.80207
1/27/2024,42039.42,42108.68,42026.89,42106.01,162.63628
1/27/2024,42106.02,42165.86,42098,42153.7,351.14752
1/27/2024,42153.69,42176.47,42126.46,42150.59,125.4654
1/27/2024,42150.59,42181.56,42079.25,42111.32,257.68619
1/27/2024,42111.33,42190.77,42099,42190.77,127.64079
1/27/2024,42190.77,42200,42121.15,42136.57,115.10093
1/27/2024,42136.56,42173.44,42110.05,42155.51,124.22579
1/27/2024,42155.5,42171.08,42110,42151.1,341.39378
1/27/2024,42151.1,42155.93,42099,42119.89,180.61507
1/27/2024,42119.9,42127.23,42090,42127.22,286.53126
1/27/2024,42127.23,42141.1,42098,42120.63,108.59637
1/28/2024,42120.63,42145.28,42090,42112.11,244.49577
1/28/2024,42112.11,42118.77,41971.91,41971.91,443.26791
1/28/2024,41971.92,42003.99,41960,41982.55,159.0583
1/28/2024,41982.55,42007.64,41925,41990.85,121.94935
1/28/2024,41990.85,42095.02,41990.85,42095.02,341.63685
1/28/2024,42095.01,42244,42095.01,42180.46,267.27618
1/28/2024,42180.47,42243.59,42080,42105.89,807.95169
1/28/2024,42105.88,42146.67,42100,42100,244.47069
1/28/2024,42100,42139.84,42100,42117.93,133.77558
1/28/2024,42117.93,42126.98,42100,42118.01,134.39972
1/28/2024,42118.01,42177.4,42110,42110.4,311.51471
1/28/2024,42110.39,42128.11,42100.03,42102.22,121.12019
1/28/2024,42102.21,42157.7,42100.03,42136.31,110.01769
1/28/2024,42136.31,42150,42100,42108.48,235.42128
1/28/2024,42108.48,42146.16,42108.48,42139.9,94.81815
1/28/2024,42139.91,42244,42139.9,42231.83,160.73363
1/28/2024,42231.84,42400,42228.64,42298.91,627.77831
1/28/2024,42298.91,42438,42274.79,42407.02,318.06916
1/28/2024,42407.02,42537.49,42391.87,42528,930.40775
1/28/2024,42528,42765.22,42488.01,42720.32,755.25131
1/28/2024,42720.33,42794.25,42641.03,42730.8,516.03035
1/28/2024,42730.8,42842.68,42656.91,42668.9,801.44854
1/28/2024,42668.91,42674.29,42471.03,42483.92,694.1167
1/28/2024,42483.91,42562.45,42453.41,42562.44,390.12941
1/28/2024,42562.45,42577.81,42401.1,42408,842.31815
1/28/2024,42408.01,42466,42390.63,42426,240.13645
1/28/2024,42426,42451.1,42315.01,42321.64,314.82755
1/28/2024,42321.64,42421.49,42293.66,42413.27,254.99103
1/28/2024,42413.27,42467.25,42387.63,42467.25,202.51033
1/28/2024,42467.24,42530.63,42450,42450.01,529.94066
1/28/2024,42450.01,42461.1,42420.11,42427.15,205.50462
1/28/2024,42427.15,42440.08,42359.13,42388.82,230.43666
1/28/2024,42388.82,42426.4,42323.14,42358,324.24902
1/28/2024,42358,42553.15,42351.48,42501.97,392.10514
1/28/2024,42501.97,42614.18,42484.51,42597.43,274.78464
1/28/2024,42597.43,42602,42460.44,42491.1,308.80484
1/28/2024,42491.09,42511.09,42442.71,42442.71,258.90116
1/28/2024,42442.72,42569.02,42424,42567.73,282.16064
1/28/2024,42567.74,42698,42538.57,42629.99,678.39623
1/28/2024,42630,42660,42570.63,42575.03,202.56285
1/28/2024,42575.02,42625.31,42566.57,42567.88,117.62235
1/28/2024,42567.88,42605.99,42525.01,42526.84,174.63867
1/28/2024,42526.84,42636.23,42500,42636.22,218.30015
