Date,Open,High,Low,Close,Volume
2018-02-06,6910.997302,7888.143213,5963.239119,7768.942755,5255682913
2018-02-05,8215.505812,8343.181452,6665.107706,6905.959543,4795001557
2018-02-04,9198.067914,9351.571884,7986.357859,8256.583798,3993493752
2018-02-03,8763.536968,9417.790992,8173.729947,9191.270888,4856472806
2018-02-02,9118.23127,9127.685961,7588.546351,8768.328115,5511338158
2018-02-01,10269.84389,10332.94607,8700.332595,9171.249369,4557095327
2018-01-31,10104.97187,10421.6627,9755.968518,10236.67507,5056861149
2018-01-30,11365.34514,11366.82402,10003.92892,10084.49524,4488869928
2018-01-29,11778.74425,11924.9553,11235.99591,11348.08379,4406818761
2018-01-28,11492.65019,12113.07635,11460.24989,11865.23189,6719212830
2018-01-27,11112.81785,11648.84804,10943.32371,11446.46873,7210080914
2018-01-26,11203.60858,11668.42645,10406.80905,11123.95015,7926703936
2018-01-25,11353.62685,11730.7456,11027.00545,11219.4367,8775510518
2018-01-24,10821.59111,10821.59111,10821.59111,10821.59111,8473730460
2018-01-23,10917.29084,11335.21575,10113.3804,10800.47262,9191153509
2018-01-22,11529.52182,11950.61767,10164.07308,10917.30641,8135625787
2018-01-21,12982.92075,12982.92075,11241.29591,11481.02513,8556846220
2018-01-20,11571.61787,13482.69124,11571.61787,12961.20566,9405841904
2018-01-19,11209.29194,12140.06162,10839.80303,11517.12995,11002606473
2018-01-18,11201.99236,12348.93238,10755.67951,11305.3074,15847953324
2018-01-17,11284.38864,11750.69524,9300.527455,11139.59209,15748924943
2018-01-16,13797.97554,14430.17095,9963.101192,11445.84964,12240679658
2018-01-15,13787.98921,14929.66735,13663.14242,13769.21644,10282025657
2018-01-14,14535.05729,14661.4007,13123.35603,13815.42967,11121051176
2018-01-13,14066.98128,14807.72901,14066.98128,14552.77603,11643386358
2018-01-12,13571.75813,14364.99214,13108.29116,14089.11203,12799444154
2018-01-11,15120.84411,15152.80451,13113.73774,13501.98144,15709420581
2018-01-10,14705.36754,15065.00252,13822.1495,15065.00252,15928534701
2018-01-09,15190.76115,16153.55621,14491.07305,14710.59636,16217162080
2018-01-08,16265.34084,18578.49314,13940.416,15218.63286,15332152746
2018-01-07,17147.5764,17147.5764,15811.12077,16515.28737,14928537113
2018-01-06,17025.65642,17179.03357,16336.05622,17162.01641,18955266191
2018-01-05,15197.76475,17161.635,14878.04817,16989.16148,19609983790
2018-01-04,15168.97237,16708.70927,14286.66985,15163.89895,17853763691
2018-01-03,14895.27537,15646.49864,14470.73767,15079.15218,15486225672
2018-01-02,13644.69304,15468.20814,13195.87352,14938.17668,11519263413
2018-01-01,14046.00276,14521.96554,12980.81113,13577.18855,9527935462
2017-12-31,12596.01857,14298.86584,12395.28947,14033.56799,11818683014
2017-12-30,14594.76816,14597.77228,11963.4803,12732.35601,12985849499
2017-12-29,14600.37023,15246.85905,14283.94298,14598.57232,10934752171
2017-12-28,15536.64441,15805.69099,13869.46709,14432.83106,11081659460
2017-12-27,16076.90736,17398.006,14692.58676,15783.75308,11113068163
2017-12-26,13967.01443,16408.5802,13877.43773,16101.49555,10838918040
